# Description: Detailed error analysis for the Hybrid (ARIMA-LSTM) model on the test set.
# Includes raw error, percentage error, and directional accuracy.
Date,Actual,Predicted,Raw_Error,Percentage_Error,Actual_Direction,Predicted_Direction,Directional_Accuracy
2022-08-09,0.0588634375086712,0.04227424299748211,-0.016589194511189093,-28.182510592836735,Up,Down,0
2022-08-10,0.0611621133443148,0.04227424299748211,-0.018887870346832696,-30.88165093397378,Down,Down,1
2022-08-10,0.0611621133443148,0.04227424299748211,-0.018887870346832696,-30.88165093397378,Down,Down,1
2022-08-11,0.0595508854814556,0.04227424299748211,-0.017276642483973495,-29.01156270691141,Down,Down,1
2022-08-11,0.0595508854814556,0.04227424299748211,-0.017276642483973495,-29.01156270691141,Up,Down,0
2022-08-12,0.0623451665998808,0.04227424299748211,-0.02007092360239869,-32.19323116290633,Down,Down,1
2022-08-12,0.0623451665998808,0.04227424299748211,-0.02007092360239869,-32.19323116290633,Up,Down,0
2022-08-15,0.0642823984872695,0.04227424299748211,-0.022008155489787386,-34.23667443607582,Down,Down,1
2022-08-15,0.0642823984872695,0.04227424299748211,-0.022008155489787386,-34.23667443607582,Down,Down,1
2022-08-16,0.0637075513423531,0.04227424299748211,-0.021433308344870998,-33.643277591524736,Down,Down,1
2022-08-16,0.0637075513423531,0.04227424299748211,-0.021433308344870998,-33.643277591524736,Down,Down,1
2022-08-17,0.0631723314922901,0.04227424299748211,-0.02089808849480799,-33.081078379002854,Down,Down,1
2022-08-17,0.0631723314922901,0.04227424299748211,-0.02089808849480799,-33.081078379002854,Down,Down,1
2022-08-18,0.0629373868803278,0.04227424299748211,-0.020663143882845687,-32.831270739180184,Down,Down,1
2022-08-18,0.0629373868803278,0.04227424299748211,-0.020663143882845687,-32.831270739180184,Down,Down,1
2022-08-19,0.0616438137548859,0.04227424299748211,-0.019369570757403795,-31.421759261071934,Down,Down,1
2022-08-19,0.0616438137548859,0.04227424299748211,-0.019369570757403795,-31.421759261071934,Down,Down,1
2022-08-22,0.0602355524797979,0.04227424299748211,-0.017961309482315793,-29.818452297486186,Down,Down,1
2022-08-22,0.0602355524797979,0.04227424299748211,-0.017961309482315793,-29.818452297486186,Up,Down,0
2022-08-23,0.0615993308913843,0.04227424299748211,-0.019325087893902193,-31.372236701689776,Down,Down,1
2022-08-23,0.0615993308913843,0.04227424299748211,-0.019325087893902193,-31.372236701689776,Up,Down,0
2022-08-24,0.061733485862125,0.04227424299748211,-0.019459242864642894,-31.521373842557647,Down,Down,1
2022-08-24,0.061733485862125,0.04227424299748211,-0.019459242864642894,-31.521373842557647,Down,Down,1
2022-08-25,0.0615193953765854,0.04227424299748211,-0.019245152379103292,-31.283064895706204,Down,Down,1
2022-08-25,0.0615193953765854,0.04227424299748211,-0.019245152379103292,-31.283064895706204,Down,Down,1
