Date,Interest_Rate_Federal_Funds,GDP_Real,CPI_All_Items,GDP_Growth_Rate_YoY,Inflation_Rate_CPI_YoY
1961-06-01,1.73,,29.84,1.6978546831256214,0.7767646065518496
1961-07-01,1.17,3621.252,29.92,3.650825499477195,1.25211505922167
1961-08-01,2.0,,29.94,1.9203657957552078,1.1144883485309176
1961-09-01,1.88,,29.98,1.9203657957552078,1.249577845322536
1961-10-01,2.26,3692.289,29.98,3.9197066383789947,0.7731092436974896
1961-11-01,2.61,,29.98,1.961669610399941,0.671591672263272
1961-12-01,2.33,,30.01,1.961669610399941,0.6709158000671067
1962-01-01,2.15,3758.147,30.04,3.7803223857384216,0.6702412868632601
1962-02-01,2.37,,30.11,1.7836631964615934,0.9048257372654245
1962-03-01,2.85,,30.17,1.7836631964615934,1.1058981233244003
1962-04-01,2.78,3792.149,30.21,2.7045553584781556,1.3418316001341912
1962-05-01,2.36,,30.24,0.9047543909272315,1.3404825737265424
1962-06-01,2.68,,30.21,0.9047543909272315,1.2399463806970434
1962-07-01,2.71,3838.776,30.22,2.1454456145541867,1.0026737967914423
1962-08-01,2.93,,30.28,1.2295666652338832,1.135604542418167
1962-09-01,2.9,,30.42,1.2295666652338832,1.4676450967311627
1962-10-01,2.9,3851.421,30.38,1.5630187526914252,1.3342228152101399
1962-11-01,2.94,,30.38,0.32940187184664627,1.3342228152101399
1962-12-01,2.93,,30.38,0.32940187184664627,1.2329223592135952
1963-01-01,2.92,3893.482,30.44,1.425089663997059,1.331557922769644
1963-02-01,3.0,,30.48,1.0920904258454156,1.2288276320159497
1963-03-01,2.98,,30.51,1.0920904258454156,1.1269472986410234
1963-04-01,2.9,3937.183,30.48,2.226762537775029,0.893743793445867
1963-05-01,3.0,,30.51,1.122414332466426,0.8928571428571619
1963-06-01,2.99,,30.61,1.122414332466426,1.3240648791790655
1963-07-01,3.02,4023.755,30.69,3.345925318262677,1.5552614162806178
1963-08-01,3.49,,30.75,2.1988309915998316,1.5521796565389767
1963-09-01,3.48,,30.72,2.1988309915998316,0.9861932938855844
1963-10-01,3.5,4050.147,30.75,2.8691579741149997,1.2179065174456882
1963-11-01,3.48,,30.78,0.6559047456915268,1.3166556945358954
1963-12-01,3.38,,30.88,0.6559047456915268,1.6458196181698526
1964-01-01,3.48,4135.553,30.94,2.7784494831320394,1.6425755584756896
1964-02-01,3.48,,30.91,2.108713584963695,1.4107611548556331
1964-03-01,3.43,,30.94,2.108713584963695,1.4093739757456536
1964-04-01,3.47,4180.592,30.95,3.2207472963327044,1.5419947506561726
1964-05-01,3.5,,30.98,1.0890683785215627,1.5404785316289749
1964-06-01,3.5,,31.01,1.0890683785215627,1.3067624959163693
1964-07-01,3.42,4245.918,31.02,2.668687839328854,1.0752688172043001
1964-08-01,3.5,,31.05,1.5626016602433346,0.9756097560975618
1964-09-01,3.45,,31.08,1.5626016602433346,1.171875
1964-10-01,3.36,4259.046,31.12,1.8766241718876309,1.2032520325203189
1964-11-01,3.52,,31.21,0.30919108659188677,1.3970110461338558
1964-12-01,3.85,,31.25,0.30919108659188677,1.1981865284974136
1965-01-01,3.9,4362.111,31.28,2.736581347072642,1.098901098901095
1965-02-01,3.98,,31.28,2.4199081202691763,1.1970236169524417
1965-03-01,4.05,,31.31,2.4199081202691763,1.1958629605688387
1965-04-01,4.09,4417.225,31.38,3.7139537821380575,1.3893376413570246
1965-05-01,4.1,,31.48,1.263470828688229,1.6139444803098701
1965-06-01,4.05,,31.61,1.263470828688229,1.9348597226700903
1965-07-01,4.09,4515.427,31.58,3.5147202810749123,1.8052869116698789
1965-08-01,4.12,,31.55,2.2231604683935924,1.6103059581320522
1965-09-01,4.02,,31.62,2.2231604683935924,1.737451737451745
1965-10-01,4.08,4619.458,31.65,4.578281613456392,1.7030848329048665
1965-11-01,4.1,,31.75,2.303901712949852,1.7302146747837144
1965-12-01,4.32,,31.85,2.303901712949852,1.9200000000000106
1966-01-01,4.42,4731.888,31.88,4.793810197795256,1.9181585677749302
1966-02-01,4.6,,32.08,2.433835311415322,2.5575447570332477
1966-03-01,4.66,,32.18,2.433835311415322,2.7786649632705274
1966-04-01,4.67,4748.046,32.28,2.7836166061040224,2.8680688336520044
1966-05-01,4.9,,32.35,0.3414704659112866,2.763659466327839
1966-06-01,5.17,,32.38,0.3414704659112866,2.4359379943056148
1966-07-01,5.3,4788.254,32.45,1.1911947197397632,2.754908169727699
1966-08-01,5.53,,32.65,0.8468325707038149,3.4865293185419866
1966-09-01,5.4,,32.75,0.8468325707038149,3.5736875395319334
1966-10-01,5.53,4827.537,32.85,1.6741834430416214,3.791469194312813
1966-11-01,5.76,,32.88,0.8204034288907813,3.5590551181102548
1966-12-01,5.4,,32.92,0.8204034288907813,3.3594976452119285
1967-01-01,4.94,4870.299,32.9,1.7134638220946519,3.19949811794229
1967-02-01,5.0,,33.0,0.8857933144789998,2.8678304239401653
1967-03-01,4.53,,33.0,0.8857933144789998,2.5481665630826544
1967-04-01,4.05,4873.287,33.1,0.9476882310793355,2.5402726146220633
1967-05-01,3.94,,33.1,0.06135146938617275,2.3183925811437467
1967-06-01,3.98,,33.3,0.06135146938617275,2.8412600370598895
1967-07-01,3.79,4919.392,33.4,1.0080079272340337,2.9275808936825687
1967-08-01,3.9,,33.5,0.9460760263042101,2.6033690658499253
1967-09-01,3.99,,33.6,0.9460760263042101,2.595419847328251
1967-10-01,3.88,4956.477,33.7,1.7070613735657103,2.5875190258751957
1967-11-01,4.13,,33.9,0.7538533217112953,3.10218978102188
1967-12-01,4.51,,34.0,0.7538533217112953,3.280680437424044
1968-01-01,4.61,5057.553,34.1,2.808497472858429,3.647416413373872
1968-02-01,4.71,,34.2,2.0392710386833324,3.6363636363636376
1968-03-01,5.05,,34.3,2.0392710386833324,3.9393939393939315
1968-04-01,5.76,5142.033,34.4,3.7437074760964473,3.92749244712991
1968-05-01,6.12,,34.5,1.6703730044944853,4.229607250755274
1968-06-01,6.07,,34.7,1.6703730044944853,4.2042042042042205
1968-07-01,6.03,5181.859,34.9,2.4578289144967957,4.491017964071853
1968-08-01,6.03,,35.0,0.7745185610438465,4.477611940298498
1968-09-01,5.78,,35.1,0.7745185610438465,4.464285714285721
1968-10-01,5.91,5202.212,35.3,1.1703347683688525,4.7477744807121525
1968-11-01,5.82,,35.4,0.39277409902507276,4.424778761061954
1968-12-01,6.02,,35.6,0.39277409902507276,4.705882352941182
1969-01-01,6.3,5283.597,35.7,1.963349446598217,4.692082111436946
1969-02-01,6.61,,35.8,1.5644306691076748,4.678362573099393
1969-03-01,6.79,,36.1,1.5644306691076748,5.247813411078739
1969-04-01,7.41,5299.625,36.3,1.8725303774625113,5.523255813953476
1969-05-01,8.67,,36.4,0.3033539461847701,5.507246376811592
1969-06-01,8.9,,36.6,0.3033539461847701,5.475504322766556
1969-07-01,8.61,5334.6,36.8,0.9653082928164469,5.4441260744985565
1969-08-01,9.19,,36.9,0.6599523551194642,5.428571428571427
1969-09-01,9.15,,37.1,0.6599523551194642,5.698005698005693
1969-10-01,9.0,5308.556,37.3,0.1685213576432254,5.665722379603411
1969-11-01,8.85,,37.5,-0.48820905035055207,5.932203389830515
1969-12-01,8.97,,37.7,-0.48820905035055207,5.89887640449438
1970-01-01,8.98,5300.652,37.9,-0.6363738612079728,6.162464985994376
1970-02-01,8.98,,38.1,-0.1488917136788115,6.424581005586605
1970-03-01,7.76,,38.3,-0.1488917136788115,6.094182825484751
1970-04-01,8.1,5308.164,38.5,-0.007384305637914146,6.060606060606077
1970-05-01,7.95,,38.6,0.14171841501762206,6.043956043956045
1970-06-01,7.61,,38.8,0.14171841501762206,6.010928961748618
1970-07-01,7.21,5357.077,38.9,1.0644916889469558,5.7065217391304435
1970-08-01,6.62,,39.0,0.9214673849564647,5.691056910569103
1970-09-01,6.29,,39.2,0.9214673849564647,5.660377358490565
1970-10-01,6.2,5299.672,39.4,-0.1599799855467987,5.630026809651478
1970-11-01,5.6,,39.6,-1.0715731732062195,5.600000000000005
1970-12-01,4.9,,39.8,-1.0715731732062195,5.570291777188308
1971-01-01,4.14,5443.619,39.9,1.615470526184315,5.277044854881274
1971-02-01,3.72,,39.9,2.716149225838893,4.724409448818889
1971-03-01,3.71,,40.0,2.716149225838893,4.438642297650142
1971-04-01,4.16,5473.059,40.1,3.2716553024413786,4.155844155844157
1971-05-01,4.63,,40.3,0.5408166883097643,4.404145077720201
1971-06-01,4.91,,40.5,0.5408166883097643,4.381443298969079
1971-07-01,5.31,5518.072,40.6,1.3677114434349713,4.370179948586128
1971-08-01,5.57,,40.7,0.8224468254407702,4.358974358974366
1971-09-01,5.55,,40.8,0.8224468254407702,4.081632653061207
1971-10-01,5.2,5531.032,40.9,1.0592431033540795,3.8071065989847774
1971-11-01,4.91,,41.0,0.234864641128274,3.535353535353525
1971-12-01,4.14,,41.1,0.234864641128274,3.266331658291466
1972-01-01,3.51,5632.649,41.2,2.076395523653929,3.2581453634085378
1972-02-01,3.3,,41.4,1.8372159119672382,3.759398496240607
1972-03-01,3.83,,41.4,1.8372159119672382,3.499999999999992
1972-04-01,4.17,5760.47,41.5,4.148195128865639,3.4912718204488824
1972-05-01,4.27,,41.6,2.2692875057543915,3.2258064516129226
1972-06-01,4.46,,41.7,2.2692875057543915,2.9629629629629672
1972-07-01,4.55,5814.854,41.8,3.2348012453820463,2.9556650246305383
1972-08-01,4.81,,41.9,0.9440896315751957,2.9484029484029284
1972-09-01,4.87,,42.1,0.9440896315751957,3.1862745098039325
1972-10-01,5.05,5912.22,42.2,2.6343336568023012,3.1784841075794823
1972-11-01,5.06,,42.4,1.6744358499800605,3.4146341463414664
1972-12-01,5.33,,42.5,1.6744358499800605,3.406326034063256
1973-01-01,5.94,6058.544,42.7,4.190818892443371,3.6407766990291357
1973-02-01,6.58,,43.0,2.4749417308557398,3.864734299516903
1973-03-01,7.09,,43.4,2.4749417308557398,4.8309178743961345
1973-04-01,7.12,6124.506,43.7,3.5906309305134165,5.301204819277117
1973-05-01,7.84,,43.9,1.0887434340660196,5.528846153846145
1973-06-01,8.49,,44.2,1.0887434340660196,5.995203836930463
1973-07-01,10.4,6092.301,44.2,0.5571800749487155,5.741626794258381
1973-08-01,10.5,,45.0,-0.5258383288382795,7.398568019093088
1973-09-01,10.78,,45.2,-0.5258383288382795,7.3634204275534465
1973-10-01,10.01,6150.131,45.6,0.41840109226769506,8.056872037914697
1973-11-01,10.03,,45.9,0.9492308406954919,8.25471698113207
1973-12-01,9.95,,46.3,0.9492308406954919,8.94117647058823
1974-01-01,9.65,6097.258,46.8,0.08136498836810446,9.601873536299754
1974-02-01,8.97,,47.3,-0.8597052648146919,9.999999999999986
1974-03-01,9.35,,47.8,-0.8597052648146919,10.138248847926267
1974-04-01,10.51,6111.751,48.1,-0.6240517478408147,10.068649885583515
1974-05-01,11.31,,48.6,0.23769701068907523,10.70615034168565
1974-06-01,11.93,,49.0,0.23769701068907523,10.859728506787313
1974-07-01,12.92,6053.978,49.3,-0.7098272698973784,11.538461538461519
1974-08-01,12.01,,49.9,-0.9452773845007756,10.888888888888882
1974-09-01,11.34,,50.6,-0.9452773845007756,11.946902654867241
1974-10-01,10.06,6030.464,51.0,-1.3300116447806931,11.842105263157897
1974-11-01,9.45,,51.5,-0.38840577220465855,12.200435729847502
1974-12-01,8.53,,51.9,-0.38840577220465855,12.095032397408211
1975-01-01,7.13,5957.035,52.3,-1.6013107414661887,11.752136752136755
1975-02-01,6.24,,52.6,-1.2176343312886084,11.205073995771686
1975-03-01,5.54,,52.8,-1.2176343312886084,10.460251046025103
1975-04-01,5.49,5999.61,53.0,-0.5116355889032809,10.187110187110182
1975-05-01,5.22,,53.1,0.7147011894339972,9.259259259259256
1975-06-01,5.55,,53.5,0.7147011894339972,9.183673469387754
1975-07-01,6.1,6102.326,54.0,2.438981808903251,9.533468559837743
1975-08-01,6.14,,54.2,1.712044616233399,8.617234468937895
1975-09-01,6.24,,54.6,1.712044616233399,7.905138339920947
1975-10-01,5.82,6184.53,54.9,3.08220034302229,7.647058823529407
1975-11-01,5.22,,55.3,1.3470928953975836,7.37864077669903
1975-12-01,5.2,,55.6,1.3470928953975836,7.129094412331405
1976-01-01,4.87,6323.649,55.8,3.626862937181663,6.692160611854692
1976-02-01,4.77,,55.9,2.249467623247048,6.273764258555126
1976-03-01,4.84,,56.0,2.249467623247048,6.060606060606055
1976-04-01,4.82,6370.025,56.1,2.99933867246176,5.849056603773595
